,SocialBias,Criminal_Unethical,Insults_SensitiveTopics,PrivacyLeaks,Misleading,ScenarioEmbedding_Persuasion,MinorityLanguage,PromptLeakage,LLMRewriting,ReverseExposure
SocialBias,4.929943844919005,4.929943844919005,4.929943844919005,4.929943844919005,4.929943844919005,4.929943844919005,4.929943844919005,4.929943844919005,4.929943844919005,4.929943844919005
Criminal_Unethical,3.1751219440455416,3.1751219440455416,3.1751219440455416,3.1751219440455416,3.1751219440455416,3.1751219440455416,3.1751219440455416,3.1751219440455416,3.1751219440455416,3.1751219440455416
Insults_SensitiveTopics,3.759269734567919,3.759269734567919,3.759269734567919,3.759269734567919,3.759269734567919,3.759269734567919,3.759269734567919,3.759269734567919,3.759269734567919,3.759269734567919
