,SocialBias,Criminal_Unethical,Insults_SensitiveTopics,PrivacyLeaks,Misleading,ScenarioEmbedding_Persuasion,MinorityLanguage,PromptLeakage,LLMRewriting,ReverseExposure
PrivacyLeaks,3.7264690832428573,3.7264690832428573,3.7264690832428573,3.7264690832428573,3.7264690832428573,3.7264690832428573,3.7264690832428573,3.7264690832428573,3.7264690832428573,3.7264690832428573
Misleading,4.431257540428361,4.431257540428361,4.431257540428361,4.431257540428361,4.431257540428361,4.431257540428361,4.431257540428361,4.431257540428361,4.431257540428361,4.431257540428361
